Reviewer_Nationality,Review_Date,review,Reviewer_Score,clean_review,neg,neu,pos,compound,sentiment
 United Kingdom ,2017-08-03, The car park was small and unpleasant People with Mercedes and BMWs took over 2 spaces We were lucky to get a space after driving around about 10 times   The location was excellent for getting to the O2,7.9,car park small unpleasant people mercedes bmws take space lucky get space driving around time location excellent get,0.126,0.61,0.264,0.5267,positive
 United Kingdom ,2017-08-03, We weren t told that the only spa facility open was the pool and the sauna but we had already paid and had to find out ourselves when entering the spa area   The house keeping lady made my boyfriends day with how funny she was,8.3,tell spa facility open pool sauna already pay find entering spa area house keep lady make boyfriend day funny,0.066,0.798,0.136,0.3612,positive
 United Kingdom ,2017-08-02, I asked how far the O2 was and got told a 7 minute walk no no way it was 2 trains away being on my own I was not very happy other than that it was ok ,6.3,ask far get told minute walk way train away happy ok,0.0,0.604,0.396,0.7096,positive
 United Kingdom ,2017-08-02, Hot stuffy room air con not working properly Filthy windows Wallpaper ripped and worn bedside furniture tatty carpets worn and damaged bathroom door latch worn making door difficult to open from the inside Shower from another era controlled by bath taps Poor shower curtain too resulting in wet floor Carpets in corridors worn out and tatty nasty musty aroma to these areas too All in all this place is around ten years overdue a complete renovation   The bed was OK ,5.4,hot stuffy room air con work properly filthy window wallpaper rip worn bedside furniture tatty carpet wear damage bathroom door latch worn make door difficult open inside shower another era control bath tap poor shower curtain result wet floor carpet corridor wear tatty nasty musty aroma area place around ten year overdue complete renovation bed ok,0.247,0.721,0.032,-0.9274,negative
 United Kingdom ,2017-08-02, Although the price seems like it is cheap you have to pay extra for everything like the swimming pool and Wifi which can fool you and sometimes comes to the same as others if not more with extras like breakfast and all   The Receptionists and Cleaners are very polite friendly and hard working staff We enjoyed our stay and would come again Rooms were clean and had enough amenities or one could request anytime without a problem,6.3,although price seem like cheap pay extra everything like swim pool wifi fool sometimes come others extras like breakfast receptionist cleaner polite friendly hard work staff enjoy stay would come room clean enough amenity one could request anytime without problem,0.103,0.525,0.372,0.9307,positive
Other,2017-08-02, The hotel has seen better days including the stairwell carpets which were quite threadbare The common parts are in need of decoration The quality of the towels in the bathroom was not too good and there was only one set of toiletries for two people There was an item of drug paraphernalia in the hall   My daughter and I were upgraded free of charge to an executive room with a balcony over the water We enjoyed the quality and price in the Spice restaurant and I was delighted to find porridge for breakfast in the Jenny restaurant The electric fan was a welcome addition to the room ,7.5,hotel see well day include stairwell carpet quite threadbare common part need decoration quality towel bathroom good one set toiletry two people item drug paraphernalia hall daughter upgrade free charge executive room balcony water enjoy quality price spice restaurant delight find porridge breakfast jenny restaurant electric fan welcome addition room,0.0,0.675,0.325,0.9623,positive
 United Kingdom ,2017-08-02, Construction going on all around the hotel so many paths closed Had to pay extra to use hotel pool and spa which was a health hazard in itself Stairs leading to changing rooms and pool were filthy pool tiles didn t look like they had ever been cleaned wood was rotted in the sauna floor had food and hair on it outside The shower outside sauna had a hot and a cold button had to press both at same time in order not to scald or freeze yourself Pasta in pizzaria was microwaved Staff were incredibly rude in all areas of the hotel at one point my aunt was asked to repeat if you understand now The wifi was incredibly slow and power points or lack there of were very dated like the decor in whole hotel The only part of this review I gave more than a sad face was the location I wouldn t even give the hotel a 2   Could control the room temperature with the AC quite easily short walk to the tube station although construction closed many paths ,3.3,construction go around hotel many path close pay extra use hotel pool spa health hazard stairs lead change room pool filthy pool tile look like ever clean wood rot sauna floor food hair outside shower outside sauna hot cold button press time order scald freeze pasta pizzaria microwave staff incredibly rude area hotel one point aunt ask repeat understand wifi incredibly slow power point lack date like decor whole hotel part review give sad face location even give hotel could control room temperature ac quite easily short walk tube station although construction close many path,0.094,0.799,0.108,0.128,positive
 United Kingdom ,2017-08-02, Room was far too hot and air conditioning didn t work Happened on my previous stay and a staff member had to open a window with a screwdriver Unfortunately the huge vents outside were really noisy with the window open Hardly slept all night   Staff were friendly location good ,5.4,room far hot air condition work happen previous stay staff member open window screwdriver unfortunately huge vent outside really noisy window open hardly sleep night staff friendly location good,0.118,0.62,0.262,0.6494,positive
 United Kingdom ,2017-08-02, The guy that served us was not very professional as he was telling us about other customers situation and we just wanted to get to our room The car park was so small and there was no parking at all My car was stuck between two cars all they told us he was a first come first serve Was not very happy at all   The bed was nice you could smoke in the room bouns I loved the layout of the hotel ,7.1,guy serve professional tell customer situation want get room car park small parking car stick two car tell first come first serve happy bed nice could smoke room bouns love layout hotel,0.0,0.7,0.3,0.9001,positive
 United Kingdom ,2017-08-02, The building site next door Dirty windows spoiling lovely view See photos   Room overlooking Thames good bed and room Breakfast was substantial and well prepared Location was perfect for my needs ,7.5,build site next door dirty window spoil lovely view see photos room overlook thames good bed room breakfast substantial well prepared location perfect need,0.08,0.471,0.449,0.9062,positive
