CustomerID,Age,Occupation,Gender,MaritalStatus,NumberOfTrips,Passport,OwnCar,Designation,MonthlyIncome
200000,41.0,Salaried,Female,Single,1.0,1,1,Manager,20993.0
200001,49.0,Salaried,Male,Divorced,2.0,0,1,Manager,20130.0
200002,37.0,Free Lancer,Male,Single,7.0,1,0,Executive,17090.0
200003,33.0,Salaried,Female,Divorced,2.0,1,1,Executive,17909.0
200004,,Small Business,Male,Divorced,1.0,0,1,Executive,18468.0
200005,32.0,Salaried,Male,Single,1.0,0,1,Executive,18068.0
200006,59.0,Small Business,Female,Divorced,5.0,1,1,Executive,17670.0
200007,30.0,Salaried,Male,Married,2.0,0,0,Executive,17693.0
200008,38.0,Salaried,Male,Unmarried,1.0,0,0,Senior Manager,24526.0
200009,36.0,Small Business,Male,Divorced,7.0,0,1,Manager,20237.0
200010,35.0,Small Business,Male,Divorced,1.0,0,1,Executive,17426.0
200011,,Salaried,Female,Single,1.0,1,0,Manager,
200012,31.0,Salaried,Male,Married,2.0,0,0,Executive,17911.0
200013,34.0,Small Business,Male,Married,1.0,0,0,Executive,17661.0
200014,28.0,Salaried,Male,Single,6.0,1,0,Executive,17028.0
200015,29.0,Salaried,Female,Married,2.0,0,1,Senior Manager,24980.0
200016,32.0,Salaried,Male,Married,1.0,1,1,Executive,18298.0
200017,22.0,Small Business,Male,Married,2.0,1,0,Executive,17935.0
200018,53.0,Salaried,Female,Divorced,3.0,0,1,AVP,30427.0
200019,,Salaried,Male,Single,6.0,1,0,Executive,
200020,,Salaried,Female,Married,1.0,0,1,Manager,
200021,,Salaried,Male,Single,1.0,0,0,Manager,18407.0
200022,34.0,Salaried,Fe Male,Unmarried,1.0,0,1,Senior Manager,26994.0
200023,21.0,Salaried,Male,Single,2.0,0,1,Executive,16232.0
200024,34.0,Small Business,Male,Single,3.0,0,1,Executive,17960.0
200025,53.0,Salaried,Female,Married,5.0,0,0,VP,34094.0
200026,,Salaried,Female,Single,2.0,1,1,Executive,
200027,42.0,Small Business,Male,Divorced,1.0,0,0,Manager,21825.0
200028,44.0,Small Business,Female,Divorced,4.0,0,1,Senior Manager,25248.0
200029,46.0,Small Business,Female,Single,4.0,0,0,VP,33947.0
200030,33.0,Small Business,Male,Single,5.0,0,1,Executive,17496.0
200031,44.0,Salaried,Male,Divorced,3.0,1,1,Manager,21465.0
200032,30.0,Small Business,Male,Single,2.0,0,1,Executive,17206.0
200033,39.0,Large Business,Male,Divorced,4.0,0,0,Manager,17086.0
200034,24.0,Small Business,Male,Divorced,3.0,1,1,Executive,17293.0
200035,43.0,Small Business,Female,Married,2.0,0,0,Executive,17645.0
200036,50.0,Small Business,Male,Divorced,2.0,1,0,Executive,17683.0
200037,35.0,Small Business,Female,Divorced,2.0,0,1,Executive,17014.0
200038,36.0,Salaried,Female,Divorced,1.0,1,1,Executive,95000.0
200039,33.0,Salaried,Female,Divorced,3.0,0,1,Manager,20376.0
200040,35.0,Salaried,Male,Married,2.0,0,0,Executive,16951.0
200041,27.0,Salaried,Female,Married,2.0,0,0,Executive,17341.0
200042,26.0,Salaried,Male,Single,2.0,0,1,Executive,17293.0
200043,27.0,Salaried,Male,Unmarried,2.0,0,1,Senior Manager,23726.0
200044,,Small Business,Female,Single,2.0,0,1,Manager,
200045,41.0,Large Business,Female,Divorced,2.0,0,1,VP,34545.0
200046,34.0,Small Business,Male,Single,1.0,0,1,Manager,19568.0
200047,37.0,Salaried,Male,Divorced,5.0,0,1,Executive,18022.0
200048,46.0,Small Business,Male,Single,5.0,1,1,Manager,20772.0
200049,35.0,Salaried,Male,Divorced,2.0,0,1,Executive,17269.0
200050,48.0,Salaried,Male,Single,1.0,1,0,Senior Manager,20381.0
200051,,Large Business,Male,Single,2.0,1,1,Executive,18441.0
200052,44.0,Small Business,Female,Married,6.0,1,0,Manager,20454.0
200053,35.0,Small Business,Male,Divorced,3.0,1,1,Senior Manager,24884.0
200054,,Small Business,Female,Divorced,1.0,1,1,Manager,
200055,33.0,Salaried,Fe Male,Unmarried,2.0,1,1,Senior Manager,28458.0
200056,35.0,Salaried,Male,Divorced,2.0,0,1,Senior Manager,24069.0
200057,,Small Business,Female,Divorced,4.0,1,1,Executive,
200058,31.0,Salaried,Male,Married,4.0,0,1,Manager,20915.0
200059,37.0,Salaried,Male,Married,2.0,0,1,Manager,20993.0
200060,32.0,Small Business,Male,Divorced,2.0,1,1,Manager,21162.0
200061,38.0,Salaried,Female,Single,2.0,0,1,Manager,17406.0
200062,50.0,Small Business,Female,Married,6.0,1,1,VP,33740.0
200063,59.0,Salaried,Female,Unmarried,1.0,0,1,Senior Manager,22637.0
200064,36.0,Large Business,Female,Married,2.0,0,1,Senior Manager,25096.0
200065,55.0,Small Business,Female,Married,3.0,1,0,AVP,29756.0
200066,36.0,Salaried,Male,Unmarried,2.0,0,1,Manager,21499.0
200067,45.0,Salaried,Male,Married,3.0,0,1,Senior Manager,24724.0
200068,35.0,Small Business,Male,Divorced,5.0,0,0,Executive,17194.0
200069,,Small Business,Male,Divorced,1.0,1,0,Executive,18388.0
200070,59.0,Salaried,Female,Single,1.0,0,1,Manager,20473.0
200071,29.0,Salaried,Male,Divorced,1.0,0,0,Executive,17703.0
200072,31.0,Small Business,Male,Single,2.0,0,0,Executive,17501.0
200073,32.0,Salaried,Male,Divorced,2.0,0,0,Manager,21220.0
200074,36.0,Salaried,Female,Divorced,4.0,0,0,Manager,18038.0
200075,31.0,Salaried,Female,Single,2.0,0,0,Manager,
200076,35.0,Small Business,Male,Single,1.0,0,0,Manager,
200077,45.0,Salaried,Male,Divorced,5.0,1,0,Senior Manager,28245.0
200078,37.0,Small Business,Male,Single,5.0,0,0,Senior Manager,28664.0
200079,46.0,Small Business,Male,Married,1.0,1,0,Manager,20021.0
200080,30.0,Salaried,Male,Divorced,2.0,1,1,Manager,20126.0
200081,35.0,Small Business,Male,Single,2.0,0,1,Executive,17859.0
200082,55.0,Salaried,Male,Divorced,4.0,0,0,Senior Manager,25239.0
200083,38.0,Small Business,Female,Married,1.0,1,0,Manager,20329.0
200084,34.0,Small Business,Male,Divorced,2.0,0,0,Manager,
200085,56.0,Salaried,Male,Unmarried,5.0,0,0,Senior Manager,22260.0
200086,23.0,Large Business,Male,Married,4.0,0,1,Executive,17322.0
200087,51.0,Salaried,Male,Divorced,4.0,0,1,Executive,17075.0
200088,,Salaried,Male,Divorced,2.0,0,1,Manager,
