reviewer,rating,review_date,review,label,score
Edy Suranto,5.0,2023-11-17 09:33:00,"Aplikasi yang sangat bagus, banyak sekali promo yang ditawarkan,banyak juga pilihan destinasi wisata juga, kalo ada hal mendadak yang menjadikan tidak bisa berangkat ada fitur reschedul, jadi tidak worry lagi, trimksih Traveloka.",Positive,0.9995841383934021
p mustika,2.0,2023-11-16 21:27:00,"Semua aman terkendali sampai akun paylater di bekukan dan saat minta diaktifkan tdk bisa, harus menunggu saja. Bberapa tahun tdk pernah lagi menggunakan app sampai kemudian diaktifkan kembali.Semua pembayaran sehat kemudian tiba2 virtual number tidak dapat digunakan dengan alasan keamanan walaupun yg lain bisa digunakan. Mencoba menghubungi cs kembali tapi tdk ada solusi, hanya permohonan maaf dan pemakluman. Saya rasa cs sangat minim pengetahuan produk dan kemampuan menyelesaikan masalah cust.",Negative,0.9997411370277405
Akhmad Jailani,5.0,2023-11-09 05:14:00,"Aplikasi yang sangat bagus, banyak promo yang di tawarkan, banyak, pilihan destinasi wisata juga. Kalau aa hal mendadak yg menjadikan tidak bisa berangkat ada fitur reschedul, jadi tidak worry lagi. Terimakasih Traveloka.",Positive,0.9995952248573303
Laras Ayu,5.0,2023-11-13 09:07:00,"Aplikasi yang sangat bagus, banyak promo yang di tawarkan, banyak, pilihan destinasi wisata juga. Kalau aa hal mendadak yg menjadikan tidak bisa berangkat ada fitur reschedul, jadi tidak worry lagi",Positive,0.9996234178543091
19 chanel,5.0,2023-11-17 05:29:00,"Aplikasi ini sangat memudah urusana perjalanan, kualitas yang baik dan terpercaya, mudah di gunakan saat bepergian kmna saja, pokonya Traveloka mantap dan smoga aplikasi ini semakin berkembang..!!!",Positive,0.999763548374176
Zenal Parker,5.0,2023-11-17 10:39:00,"Aplikasi yang sangat bagus, banyak promo yang di tawarkan, banyak pilihan distenasi wisata yang lengkap, pokoknya Anti ribet dah,, ada fitur rescuedul jadi tdak worry lagi makasih Traveloka",Positive,0.9996424913406372
Milani Krisyanti,5.0,2023-11-16 11:38:00,"Aplikasi ini sangatlah membantu buat kalian yg hobi banget jalan2. Aplikasinya ngga ribet dan ngga bnyk embel2 nya. Buat kalian yg mau bepergian kemanapun, soal perjalanan dan penginapan percayakan kepada Traveloka.",Positive,0.9995675683021545
Vebrie Anienbie,2.0,2023-11-10 08:13:00,"Sekarang Traveloka masuk nya susah mau lihat harga tiket atau limit aja layar nya putih, padahal dulu lancar2 aja. Alasan nya d suruh instal versi terbaru, padahal saya sudah instal tapi tetap aja Lola, malah mau lihat harga tiket aja gak tersedia terus, makin buruk aja ni aplikasi",Negative,0.9998841285705566
Deden Maulana,5.0,2023-11-13 04:49:00,"Aplikasi perjalanan ini luar biasa! Penggunaannya sangat intuitif, memungkinkan saya dengan mudah mencari dan memesan tiket pesawat, hotel, dan aktivitas wisata. Fitur penawaran khusus dan notifikasi harga sangat membantu. Selain itu, peta interaktif dan ulasan pengguna membantu saya merencanakan perjalanan dengan baik. Dengan dukungan pelanggan yang responsif dan layanan yang dapat diandalkan, aplikasi ini adalah teman. perjalanan yang sempurna untuk petualangan Anda.",Positive,0.9996613264083862
Luthfia Annisa,5.0,2023-11-12 06:22:00,Traveloka aplikasi yang sangat memudahkan kita jika hendak berwisata. Di aplikasi ini menyediakan berbagai diskon menarik sehingga nggak perlu mengeluarkan budget yang besar.. sukses selalu traveloka !,Positive,0.9995796084403992
Nelia Ma'rifah,5.0,2023-11-16 08:57:00,Transaksi lebih mudah dan murah dengan aplikasi traveloka. Terasa lebih efesien dan tentunya sangat membantu. Sukses selalu traveloka!!??,Positive,0.9995916485786438
Halimatus Sa'diyya,5.0,2023-11-17 04:32:00,"Sangat memudahkan untuk liburan, aplikasi yanga sangat membantu. Banyak vocher jadi lebih hemat kalo mau booking. Aplikasi yang sangat rekomended",Positive,0.9995637536048889
Dicki Faudzin,5.0,2023-11-16 09:59:00,"Aplikasi yg sangat bagus , banyak promo nya juga dan smemudahkan dalam perjalanan apapun , kualitas nya baik dan terpecaya , pokok nya mantap banget traveloka",Positive,0.9997513890266418
